top_1,top_5
0.1044921875,0.1337890625
-1,-1
0.7568359375,0.9296875
0.1044921875,0.1318359375
0.755859375,0.9306640625
0.107421875,0.134765625
-1,-1
-1,-1
-1,-1
-1,-1
0.7568359375,0.9296875
0.103515625,0.130859375
0.7578125,0.9306640625
0.7578125,0.9306640625
0.1064453125,0.1357421875
0.7568359375,0.9296875
0.5615234375,0.7900390625
-1,-1
-1,-1
0.1005859375,0.126953125
0.7568359375,0.9287109375
-1,-1
0.1015625,0.12890625
0.1044921875,0.1328125
-1,-1
-1,-1
0.7578125,0.9306640625
0.7568359375,0.9296875
-1,-1
-1,-1
0.7568359375,0.9296875
-1,-1
-1,-1
-1,-1
0.7568359375,0.9296875
0.755859375,0.9287109375
0.7587890625,0.9296875
-1,-1
0.7568359375,0.9287109375
0.7578125,0.9306640625
-1,-1
-1,-1
0.7568359375,0.9287109375
-1,-1
0.099609375,0.1259765625
-1,-1
0.0966796875,0.123046875
