top_1,top_5
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.3359375,0.4140625
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.8671875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.328125,0.4140625
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.34375,0.421875
0.734375,0.875
0.734375,0.875
0.328125,0.40625
-1,-1
0.3203125,0.3828125
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.34375,0.421875
0.734375,0.875
0.734375,0.875
0.328125,0.40625
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.3828125,0.515625
0.734375,0.875
0.734375,0.875
0.328125,0.40625
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.328125,0.40625
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
