top_1,top_5
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.771484375,0.935546875
-1,-1
0.03125,0.037109375
-1,-1
0.029296875,0.037109375
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.779296875,0.931640625
-1,-1
0.78125,0.935546875
-1,-1
0.78125,0.935546875
-1,-1
0.78125,0.93359375
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.779296875,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.93359375
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
-1,-1
0.78125,0.93359375
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.931640625
-1,-1
0.78125,0.935546875
0.78125,0.935546875
