top_1,top_5
-1,-1
0.720703125,0.900390625
0.044921875,0.060546875
-1,-1
0.044921875,0.05859375
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
-1,-1
0.04296875,0.056640625
0.720703125,0.900390625
-1,-1
0.720703125,0.900390625
0.046875,0.0625
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.71875,0.900390625
0.720703125,0.900390625
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.044921875,0.880859375
0.720703125,0.900390625
0.720703125,0.900390625
0.044921875,0.880859375
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.048828125,0.83984375
-1,-1
0.04296875,0.056640625
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.046875,0.064453125
0.04296875,0.0546875
0.71875,0.8984375
-1,-1
0.04296875,0.056640625
0.720703125,0.900390625
0.720703125,0.900390625
0.04296875,0.05859375
0.720703125,0.900390625
0.720703125,0.900390625
0.716796875,0.8984375
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
-1,-1
0.04296875,0.05859375
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.71875,0.900390625
0.71875,0.8984375
0.04296875,0.056640625
0.720703125,0.900390625
0.720703125,0.900390625
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
0.04296875,0.052734375
0.720703125,0.900390625
0.720703125,0.900390625
0.04296875,0.052734375
0.71484375,0.90234375
0.048828125,0.841796875
0.720703125,0.900390625
0.724609375,0.90234375
-1,-1
0.04296875,0.056640625
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
0.716796875,0.8984375
-1,-1
0.041015625,0.05078125
0.71484375,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
-1,-1
-1,-1
0.044921875,0.05859375
0.720703125,0.900390625
0.720703125,0.900390625
0.71875,0.900390625
0.720703125,0.900390625
-1,-1
0.720703125,0.900390625
0.044921875,0.060546875
0.044921875,0.056640625
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
0.04296875,0.05859375
0.71875,0.8984375
0.720703125,0.900390625
0.720703125,0.900390625
0.044921875,0.880859375
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
-1,-1
0.71875,0.900390625
0.04296875,0.060546875
-1,-1
0.720703125,0.8984375
0.720703125,0.900390625
0.046875,0.060546875
0.720703125,0.900390625
0.044921875,0.880859375
0.720703125,0.900390625
0.720703125,0.900390625
-1,-1
0.044921875,0.05859375
0.046875,0.060546875
0.720703125,0.900390625
0.04296875,0.05859375
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
0.703125,0.8984375
0.71875,0.900390625
0.720703125,0.900390625
0.720703125,0.90234375
0.716796875,0.8984375
0.720703125,0.900390625
0.720703125,0.900390625
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
-1,-1
-1,-1
0.04296875,0.056640625
0.720703125,0.900390625
0.720703125,0.900390625
0.044921875,0.060546875
0.044921875,0.880859375
0.046875,0.060546875
0.720703125,0.900390625
0.720703125,0.900390625
0.044921875,0.064453125
0.044921875,0.880859375
0.044921875,0.064453125
0.720703125,0.900390625
0.044921875,0.880859375
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.04296875,0.171875
0.720703125,0.900390625
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.71875,0.900390625
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.71875,0.8984375
-1,-1
0.044921875,0.05859375
0.720703125,0.900390625
0.720703125,0.900390625
-1,-1
0.041015625,0.05078125
0.720703125,0.900390625
0.720703125,0.900390625
0.04296875,0.880859375
0.044921875,0.05859375
0.720703125,0.900390625
0.720703125,0.900390625
0.044921875,0.87890625
0.720703125,0.900390625
0.71875,0.8984375
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
-1,-1
-1,-1
0.041015625,0.0546875
0.720703125,0.900390625
0.046875,0.0625
0.720703125,0.900390625
0.71484375,0.896484375
-1,-1
0.720703125,0.900390625
0.720703125,0.900390625
0.046875,0.0625
0.720703125,0.900390625
-1,-1
0.044921875,0.052734375
-1,-1
-1,-1
0.044921875,0.060546875
0.046875,0.064453125
0.720703125,0.900390625
0.044921875,0.056640625
-1,-1
-1,-1
0.044921875,0.05859375
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.048828125,0.8828125
-1,-1
-1,-1
-1,-1
-1,-1
0.720703125,0.900390625
-1,-1
0.720703125,0.900390625
0.046875,0.0625
0.720703125,0.900390625
0.720703125,0.900390625
0.044921875,0.880859375
0.720703125,0.900390625
0.71875,0.900390625
0.720703125,0.900390625
0.04296875,0.880859375
0.048828125,0.06640625
0.720703125,0.900390625
-1,-1
0.04296875,0.056640625
0.720703125,0.900390625
0.044921875,0.05859375
0.720703125,0.900390625
0.7265625,0.90234375
0.044921875,0.880859375
0.720703125,0.900390625
0.716796875,0.8984375
-1,-1
0.720703125,0.90234375
0.720703125,0.900390625
0.720703125,0.900390625
0.720703125,0.900390625
0.048828125,0.841796875
