top_1,top_5
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.779296875,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.931640625
0.78125,0.935546875
0.78125,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.93359375
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.03515625,0.05078125
0.78125,0.935546875
0.779296875,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.033203125,0.0546875
0.78125,0.935546875
0.779296875,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
