top_1,top_5
0.4453125,0.578125
0.74609375,0.89453125
0.7421875,0.890625
0.05078125,0.0625
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.74609375,0.89453125
0.66796875,0.80859375
0.74609375,0.89453125
-1,-1
-1,-1
-1,-1
0.7421875,0.890625
0.69140625,0.82421875
0.7421875,0.890625
0.73828125,0.890625
0.7421875,0.890625
-1,-1
0.7421875,0.89453125
0.74609375,0.89453125
0.4921875,0.5703125
0.74609375,0.89453125
0.71484375,0.86328125
-1,-1
0.7421875,0.890625
0.7421875,0.890625
0.7421875,0.890625
-1,-1
0.74609375,0.89453125
-1,-1
-1,-1
0.74609375,0.89453125
0.6171875,0.73828125
-1,-1
-1,-1
0.609375,0.76171875
0.66796875,0.7890625
-1,-1
0.74609375,0.89453125
0.7421875,0.890625
-1,-1
-1,-1
0.7421875,0.890625
-1,-1
0.33984375,0.8828125
0.73828125,0.890625
-1,-1
-1,-1
0.03125,0.0390625
0.7421875,0.890625
-1,-1
-1,-1
0.74609375,0.89453125
0.75,0.890625
0.74609375,0.89453125
-1,-1
0.74609375,0.89453125
0.51171875,0.60546875
0.671875,0.8203125
-1,-1
0.74609375,0.89453125
-1,-1
0.7421875,0.890625
-1,-1
0.73828125,0.88671875
0.7421875,0.88671875
0.55859375,0.6640625
-1,-1
0.7421875,0.89453125
0.03515625,0.0390625
0.7421875,0.89453125
0.6015625,0.73046875
0.74609375,0.89453125
-1,-1
-1,-1
-1,-1
0.73828125,0.8828125
0.421875,0.5078125
0.671875,0.8046875
-1,-1
0.73828125,0.88671875
0.63671875,0.75390625
0.7421875,0.890625
-1,-1
0.60546875,0.734375
0.57421875,0.703125
0.7421875,0.890625
0.74609375,0.89453125
0.74609375,0.89453125
-1,-1
-1,-1
-1,-1
0.6015625,0.71875
0.734375,0.8828125
-1,-1
-1,-1
0.74609375,0.890625
0.7421875,0.890625
0.74609375,0.890625
0.7421875,0.890625
0.42578125,0.5
-1,-1
0.578125,0.6875
0.75,0.890625
-1,-1
0.3671875,0.87890625
-1,-1
-1,-1
0.7421875,0.890625
0.7421875,0.890625
0.73828125,0.8828125
-1,-1
0.234375,0.3203125
0.74609375,0.890625
0.73828125,0.87890625
0.2421875,0.28515625
-1,-1
0.1484375,0.18359375
0.734375,0.8828125
0.73828125,0.890625
0.56640625,0.6875
-1,-1
0.046875,0.0546875
0.40234375,0.75
0.7421875,0.890625
