top_1,top_5
-1,-1
-1,-1
0.734375,0.875
0.328125,0.40625
-1,-1
0.734375,0.875
0.328125,0.40625
0.734375,0.875
0.328125,0.40625
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.328125,0.40625
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
-1,-1
-1,-1
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.328125,0.40625
0.734375,0.875
0.734375,0.875
0.328125,0.40625
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.3359375,0.4140625
-1,-1
-1,-1
0.734375,0.875
0.734375,0.875
0.328125,0.40625
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.7265625,0.8671875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.328125,0.40625
0.328125,0.40625
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.3203125,0.3984375
0.7421875,0.875
0.328125,0.40625
-1,-1
0.3203125,0.3984375
0.71875,0.859375
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
-1,-1
0.734375,0.875
0.734375,0.875
0.40625,0.5
-1,-1
-1,-1
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.3515625,0.4375
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.3359375,0.4296875
0.734375,0.875
0.734375,0.875
0.359375,0.4765625
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.7265625,0.8671875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
