top_1,top_5
0.05859375,0.08203125
0.76953125,0.93359375
0.76953125,0.92578125
-1,-1
0.77734375,0.9375
0.7734375,0.93359375
0.06640625,0.09765625
0.77734375,0.94140625
0.77734375,0.9375
0.77734375,0.94140625
0.0703125,0.1015625
0.77734375,0.9375
-1,-1
0.77734375,0.94140625
0.0546875,0.06640625
0.046875,0.05859375
-1,-1
0.76953125,0.9296875
0.7734375,0.9296875
0.78125,0.9453125
0.77734375,0.9375
0.78125,0.94140625
0.77734375,0.94140625
0.0546875,0.06640625
0.78125,0.9453125
0.0859375,0.1171875
0.76953125,0.92578125
0.7734375,0.9375
0.7734375,0.9375
-1,-1
0.77734375,0.94140625
0.765625,0.92578125
0.77734375,0.9375
-1,-1
0.1328125,0.171875
0.0703125,0.08203125
0.78125,0.9453125
0.0703125,0.1015625
0.77734375,0.93359375
-1,-1
0.7734375,0.93359375
0.0625,0.08984375
0.7734375,0.9296875
0.77734375,0.94140625
0.78125,0.9453125
0.78125,0.94140625
0.05859375,0.07421875
0.046875,0.0625
0.046875,0.0546875
0.7734375,0.92578125
-1,-1
-1,-1
-1,-1
0.7734375,0.93359375
0.7734375,0.9375
-1,-1
0.7734375,0.9375
0.77734375,0.94140625
-1,-1
0.76953125,0.9296875
-1,-1
-1,-1
0.77734375,0.94140625
0.77734375,0.9375
-1,-1
0.76953125,0.9296875
0.77734375,0.9296875
0.77734375,0.93359375
0.0546875,0.06640625
-1,-1
0.76953125,0.93359375
-1,-1
0.0703125,0.078125
0.78125,0.94140625
0.78125,0.9453125
0.12109375,0.171875
0.78515625,0.9453125
0.05078125,0.06640625
-1,-1
0.78125,0.9375
0.78125,0.94140625
0.76953125,0.94140625
0.77734375,0.9375
0.76953125,0.93359375
0.77734375,0.9296875
-1,-1
0.06640625,0.10546875
0.77734375,0.93359375
-1,-1
0.78125,0.9453125
0.77734375,0.94140625
0.77734375,0.94140625
0.046875,0.0625
-1,-1
-1,-1
0.765625,0.92578125
0.77734375,0.94140625
0.0625,0.08203125
-1,-1
0.2578125,0.38671875
0.78125,0.94140625
0.76953125,0.93359375
0.7734375,0.93359375
-1,-1
0.76953125,0.93359375
0.78125,0.9453125
0.77734375,0.93359375
0.7734375,0.93359375
0.76171875,0.91015625
0.7734375,0.9375
0.76953125,0.9296875
0.77734375,0.9375
-1,-1
0.7734375,0.93359375
0.7734375,0.9296875
0.765625,0.9296875
0.05078125,0.0625
0.7734375,0.93359375
0.78125,0.9375
0.09375,0.140625
-1,-1
-1,-1
0.7734375,0.9375
-1,-1
0.7734375,0.9375
-1,-1
0.07421875,0.84765625
0.06640625,0.08203125
