top_1,top_5
-1,-1
0.75,0.89453125
0.7578125,0.90234375
-1,-1
0.75390625,0.8984375
0.75,0.890625
0.74609375,0.890625
-1,-1
-1,-1
0.75390625,0.8984375
0.75390625,0.8984375
-1,-1
0.75,0.89453125
0.75,0.89453125
0.7578125,0.90234375
0.7578125,0.90234375
0.73828125,0.89453125
0.75390625,0.8984375
-1,-1
0.7578125,0.90234375
0.1328125,0.16015625
0.74609375,0.890625
0.7578125,0.90234375
0.7578125,0.8984375
0.7578125,0.90234375
0.75390625,0.89453125
0.75390625,0.8984375
0.75390625,0.89453125
-1,-1
0.7578125,0.90234375
0.14453125,0.17578125
0.75,0.89453125
0.75390625,0.8984375
0.75390625,0.89453125
0.1640625,0.20703125
0.75390625,0.8984375
-1,-1
0.75390625,0.8984375
0.75,0.89453125
0.7578125,0.90234375
0.7578125,0.89453125
0.7578125,0.8984375
-1,-1
0.10546875,0.890625
0.7578125,0.8984375
0.7578125,0.90234375
0.75390625,0.8984375
-1,-1
-1,-1
0.7578125,0.90234375
0.75390625,0.8984375
0.75,0.89453125
0.125,0.14453125
0.7421875,0.89453125
0.7578125,0.90234375
0.16015625,0.203125
0.7578125,0.90234375
0.75390625,0.8984375
0.7578125,0.90234375
0.75390625,0.8984375
0.7578125,0.90234375
-1,-1
0.7578125,0.90234375
0.7578125,0.90234375
0.7578125,0.90234375
0.75,0.890625
0.1484375,0.17578125
-1,-1
0.7578125,0.90234375
0.75,0.890625
0.75390625,0.8984375
0.7578125,0.90234375
-1,-1
-1,-1
0.13671875,0.1640625
0.75,0.89453125
-1,-1
0.75390625,0.8984375
0.75390625,0.89453125
0.75390625,0.8984375
0.7578125,0.90234375
0.74609375,0.89453125
0.75390625,0.89453125
0.75390625,0.8984375
-1,-1
0.75390625,0.89453125
0.7578125,0.8984375
0.7578125,0.90234375
0.7578125,0.90234375
0.75390625,0.8984375
0.7578125,0.90234375
0.13671875,0.16796875
0.7578125,0.8984375
-1,-1
0.0859375,0.10546875
-1,-1
-1,-1
0.7578125,0.90234375
0.75,0.890625
0.7578125,0.90234375
0.7578125,0.90234375
0.75390625,0.90234375
0.75390625,0.8984375
0.75390625,0.8984375
0.75390625,0.8984375
-1,-1
0.7578125,0.90234375
0.75390625,0.8984375
0.7578125,0.90234375
0.7578125,0.90234375
-1,-1
0.75390625,0.89453125
0.75,0.89453125
0.7578125,0.90234375
0.7578125,0.90234375
0.7578125,0.8984375
0.7578125,0.90234375
0.28125,0.35546875
0.74609375,0.890625
0.75390625,0.8984375
0.74609375,0.890625
0.26953125,0.33984375
0.75390625,0.8984375
0.7578125,0.90234375
0.15234375,0.19140625
0.7578125,0.90234375
0.10546875,0.13671875
0.75,0.89453125
