top_1,top_5
0.78125,0.935546875
0.001953125,0.009765625
0.78125,0.935546875
0.78125,0.935546875
0.0,0.005859375
0.78125,0.935546875
0.78125,0.935546875
0.0,0.005859375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.001953125,0.00390625
0.779296875,0.927734375
0.783203125,0.93359375
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.775390625,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.783203125,0.9375
0.0,0.0078125
0.78125,0.935546875
0.0,0.005859375
-1,-1
-1,-1
0.001953125,0.00390625
0.78125,0.935546875
0.001953125,0.005859375
0.0,0.001953125
-1,-1
0.0,0.001953125
0.775390625,0.93359375
0.78125,0.935546875
0.775390625,0.93359375
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.001953125,0.00390625
0.0,0.0078125
0.783203125,0.935546875
0.0,0.005859375
0.78125,0.935546875
0.775390625,0.93359375
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.001953125,0.00390625
0.78125,0.935546875
0.78125,0.935546875
0.0,0.001953125
-1,-1
0.78125,0.935546875
0.78125,0.935546875
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.001953125,0.00390625
-1,-1
0.0,0.005859375
-1,-1
-1,-1
0.78125,0.935546875
-1,-1
-1,-1
0.001953125,0.00390625
0.775390625,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.0,0.00390625
-1,-1
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.001953125,0.00390625
0.775390625,0.93359375
0.78125,0.935546875
0.03515625,0.060546875
-1,-1
-1,-1
0.001953125,0.00390625
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.001953125,0.00390625
0.78125,0.935546875
-1,-1
0.001953125,0.00390625
0.78125,0.935546875
-1,-1
0.001953125,0.00390625
0.775390625,0.93359375
0.0,0.00390625
0.78125,0.935546875
0.001953125,0.009765625
0.78125,0.935546875
0.78125,0.935546875
0.001953125,0.0078125
0.78125,0.935546875
-1,-1
-1,-1
0.78125,0.935546875
0.001953125,0.00390625
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.001953125,0.00390625
0.78125,0.935546875
0.78125,0.935546875
0.0,0.0078125
0.78125,0.935546875
0.0,0.005859375
0.78125,0.935546875
0.78125,0.935546875
0.001953125,0.00390625
0.00390625,0.009765625
0.78125,0.935546875
0.78125,0.935546875
0.03515625,0.060546875
0.78125,0.935546875
0.001953125,0.0078125
-1,-1
0.001953125,0.00390625
-1,-1
0.78125,0.935546875
0.001953125,0.00390625
0.78125,0.935546875
0.001953125,0.009765625
0.78125,0.935546875
0.78125,0.935546875
0.03515625,0.060546875
-1,-1
0.78125,0.935546875
0.001953125,0.00390625
-1,-1
0.001953125,0.00390625
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.001953125,0.00390625
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.03515625,0.05859375
0.0,0.005859375
0.076171875,0.095703125
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.0,0.005859375
-1,-1
-1,-1
0.001953125,0.00390625
0.775390625,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.0,0.005859375
0.78125,0.935546875
0.03515625,0.05859375
0.78125,0.935546875
0.001953125,0.0078125
0.78125,0.935546875
0.775390625,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.001953125,0.005859375
-1,-1
-1,-1
0.001953125,0.00390625
0.78125,0.935546875
0.001953125,0.009765625
0.78125,0.935546875
0.775390625,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.03515625,0.05859375
-1,-1
-1,-1
0.78125,0.935546875
0.0,0.0
0.78125,0.935546875
0.001953125,0.0078125
-1,-1
0.001953125,0.00390625
0.78125,0.935546875
-1,-1
0.001953125,0.00390625
0.78125,0.935546875
0.78125,0.935546875
0.00390625,0.0078125
0.78125,0.935546875
0.001953125,0.00390625
0.78125,0.935546875
0.0,0.00390625
-1,-1
0.78125,0.935546875
0.001953125,0.00390625
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.775390625,0.93359375
-1,-1
0.0,0.00390625
0.775390625,0.93359375
0.78125,0.935546875
0.775390625,0.93359375
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.001953125,0.00390625
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.001953125,0.00390625
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.001953125,0.005859375
0.775390625,0.93359375
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.775390625,0.93359375
-1,-1
-1,-1
0.001953125,0.00390625
