original_classes,7
0,3
5,2
6,1
7,1
9,2
10,3
12,2
13,2
14,1
17,1
18,1
22,1
25,2
27,2
29,1
30,1
31,1
32,1
33,1
34,2
35,2
37,2
38,1
41,1
43,1
44,2
46,3
47,1
48,1
49,1
52,1
53,2
54,1
55,2
56,2
57,1
59,1
61,3
64,1
65,1
66,1
67,3
68,1
69,1
70,1
72,1
73,1
75,1
76,2
79,1
80,1
81,2
82,1
88,1
89,1
90,2
91,2
92,2
93,3
94,3
95,1
97,1
102,2
104,3
107,4
108,2
109,1
111,2
113,4
118,2
119,1
121,1
122,1
124,1
125,2
128,1
129,2
130,3
131,1
133,1
135,1
136,2
138,3
140,2
141,1
142,2
144,1
146,1
150,1
153,2
155,1
156,1
158,1
159,1
161,2
164,2
166,1
168,1
171,2
172,1
175,1
178,1
179,1
180,2
181,2
182,1
183,3
184,2
186,1
187,1
188,1
189,1
190,3
191,1
192,3
193,2
195,1
196,1
197,1
198,3
199,1
200,1
203,2
206,2
207,1
208,2
209,2
212,1
215,1
218,1
219,1
220,1
222,1
225,3
226,1
227,2
228,1
230,3
232,3
233,1
234,3
235,1
237,1
240,1
241,1
243,1
245,3
246,2
247,2
248,3
250,4
254,3
255,1
256,1
258,4
259,4
261,1
262,1
263,2
264,1
265,1
266,1
267,1
268,1
271,1
273,1
274,2
275,1
276,3
279,2
280,1
284,1
285,2
287,2
290,2
291,2
292,1
293,1
295,1
296,1
299,1
300,1
303,1
304,2
306,2
307,1
308,3
309,1
310,1
312,1
313,2
315,1
317,1
318,2
319,2
320,2
321,2
324,4
326,2
327,1
330,3
331,2
332,1
333,3
335,2
336,3
337,2
339,1
340,3
343,1
347,2
351,2
352,2
354,2
356,1
357,2
358,2
359,1
360,2
361,2
362,2
364,1
365,3
366,2
367,2
368,1
369,2
370,4
372,1
374,2
375,2
376,2
379,4
380,3
381,2
382,2
383,1
384,4
387,1
388,1
390,2
391,1
393,3
394,1
396,2
397,1
398,1
399,1
400,1
401,2
402,1
403,4
404,1
406,2
407,1
408,1
410,1
411,1
412,1
413,1
414,3
415,4
416,1
417,1
421,1
424,2
425,2
427,1
428,3
430,2
432,1
433,2
434,1
435,1
437,1
439,4
440,1
442,1
443,1
447,1
451,3
452,2
453,1
454,1
457,1
458,1
460,2
461,1
463,2
464,2
465,2
468,1
469,2
470,3
471,1
472,1
473,1
474,1
475,4
477,1
478,2
481,1
482,1
484,1
485,1
486,1
488,1
489,1
492,3
494,1
495,1
497,1
499,2
500,1
501,2
502,1
503,1
504,1
507,2
508,1
510,1
512,2
515,1
517,2
518,3
519,1
520,1
521,2
523,2
526,1
527,1
528,2
530,1
532,4
534,2
538,1
539,1
540,2
541,2
542,3
544,1
545,1
548,1
550,1
553,1
554,1
555,1
556,1
560,1
562,1
563,1
564,1
565,1
566,1
567,1
570,2
571,1
573,1
574,1
575,1
576,2
577,2
578,3
579,3
580,2
581,1
583,1
585,1
586,2
588,1
590,2
591,1
592,1
593,1
595,1
597,1
598,2
599,1
601,1
602,1
603,1
604,3
605,1
606,1
607,1
608,2
609,2
612,2
614,3
616,1
617,1
618,1
620,1
623,1
624,2
626,1
627,2
629,1
630,2
631,3
633,1
637,2
638,1
639,2
641,2
642,2
644,1
645,1
646,1
647,1
650,2
655,1
657,1
660,1
661,1
662,2
665,1
666,1
667,1
669,1
670,2
671,1
672,2
673,1
674,3
676,1
678,1
679,3
680,2
681,3
682,1
683,4
684,1
685,1
686,1
687,1
688,3
691,1
692,1
694,1
696,2
697,2
699,1
700,2
701,2
702,1
703,1
704,2
706,1
707,2
709,3
710,2
713,1
714,1
715,2
716,3
718,1
720,1
721,1
722,1
723,2
724,2
726,1
727,1
729,3
731,1
732,1
734,1
735,2
737,2
738,1
739,1
742,1
744,1
745,1
746,1
747,1
750,2
752,1
756,1
757,1
759,1
760,1
761,1
762,2
763,1
764,1
767,3
768,2
769,1
772,1
773,1
774,2
775,2
777,2
778,1
779,1
780,1
781,3
782,1
783,1
784,2
785,2
786,2
789,2
792,2
793,1
794,1
795,3
796,1
797,2
798,1
799,1
800,1
802,1
803,2
805,2
808,1
809,4
810,2
814,2
816,1
817,2
819,2
821,4
822,1
823,1
824,2
825,1
828,2
829,1
830,2
831,1
834,2
838,1
839,3
840,1
842,2
843,3
844,1
845,1
846,3
847,1
848,2
850,1
851,4
852,1
853,2
855,1
856,2
858,2
859,2
860,1
861,2
862,1
863,2
864,1
869,1
870,1
873,3
875,2
876,2
879,1
880,2
881,2
883,1
887,2
888,1
891,1
892,2
893,4
894,1
895,2
897,1
898,2
899,1
900,1
902,2
903,1
904,1
905,2
907,1
909,3
912,1
913,1
914,1
917,3
918,1
919,1
920,1
921,1
925,3
926,3
928,2
930,2
931,1
937,1
939,2
942,2
944,2
946,1
947,1
948,1
950,1
951,1
952,2
954,3
955,3
956,1
957,1
958,1
959,4
960,3
963,2
964,1
965,1
966,1
968,1
971,2
972,3
973,1
974,1
975,1
976,1
977,1
978,1
979,1
981,2
983,2
984,3
986,1
987,1
988,4
989,1
990,2
991,1
993,1
995,3
997,2
998,1
