top_1,top_5
-1,-1
0.734375,0.875
0.3359375,0.4140625
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.7265625,0.8671875
0.34375,0.421875
0.34375,0.421875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.3359375,0.4140625
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.3359375,0.4140625
-1,-1
0.734375,0.875
0.734375,0.875
-1,-1
0.3203125,0.3984375
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.328125,0.40625
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.34375,0.4296875
0.34375,0.421875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.7265625,0.8671875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.7265625,0.8671875
0.734375,0.875
0.328125,0.4140625
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.3203125,0.3984375
0.734375,0.875
0.7265625,0.8671875
0.34375,0.421875
0.734375,0.875
0.734375,0.875
0.3984375,0.484375
0.734375,0.875
-1,-1
0.3203125,0.40625
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.3359375,0.4140625
0.734375,0.875
0.3359375,0.4140625
0.734375,0.875
-1,-1
0.734375,0.875
0.734375,0.875
0.7265625,0.8671875
0.734375,0.875
-1,-1
0.3203125,0.3984375
0.7265625,0.8671875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.734375,0.875
0.71875,0.859375
0.3359375,0.4140625
0.3359375,0.4140625
0.34375,0.421875
-1,-1
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
-1,-1
0.3203125,0.390625
0.734375,0.8671875
0.734375,0.875
0.734375,0.875
-1,-1
0.3203125,0.3984375
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.328125,0.40625
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
0.734375,0.875
