top_1,top_5
0.78125,0.935546875
0.056640625,0.11328125
0.779296875,0.93359375
-1,-1
0.78125,0.93359375
-1,-1
0.78125,0.935546875
-1,-1
-1,-1
0.78125,0.935546875
-1,-1
0.22265625,0.37890625
-1,-1
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
-1,-1
-1,-1
-1,-1
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
-1,-1
-1,-1
-1,-1
0.779296875,0.93359375
0.029296875,0.037109375
-1,-1
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
-1,-1
-1,-1
0.78125,0.935546875
-1,-1
0.18359375,0.375
-1,-1
0.78125,0.931640625
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
