top_1,top_5
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
-1,-1
0.0234375,0.03125
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.03125,0.044921875
0.78125,0.93359375
-1,-1
0.78125,0.931640625
0.78125,0.935546875
-1,-1
-1,-1
0.78125,0.93359375
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.779296875,0.931640625
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.931640625
0.78125,0.935546875
-1,-1
0.78125,0.935546875
-1,-1
-1,-1
-1,-1
-1,-1
0.78125,0.935546875
-1,-1
0.78125,0.935546875
-1,-1
-1,-1
0.78125,0.935546875
-1,-1
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.029296875,0.03515625
0.78125,0.93359375
0.642578125,0.84375
0.78125,0.935546875
0.779296875,0.93359375
0.78125,0.93359375
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
-1,-1
-1,-1
-1,-1
0.78125,0.935546875
0.779296875,0.93359375
-1,-1
-1,-1
