original_classes,306
2,1
3,1
5,1
9,1
10,2
13,1
16,1
21,2
22,1
24,1
29,2
31,1
34,1
37,1
39,1
40,1
42,2
44,1
45,1
46,2
55,1
56,1
59,2
60,1
62,1
64,2
68,1
72,1
74,2
75,1
76,1
79,1
81,1
86,1
87,1
88,1
89,1
90,1
91,1
93,1
97,1
99,2
101,1
102,2
103,2
104,1
108,1
111,1
112,1
113,1
116,3
118,1
120,2
121,1
124,1
130,1
136,1
137,1
139,2
143,1
147,2
152,1
153,1
155,1
156,2
157,1
160,1
162,1
163,1
164,1
167,1
168,2
172,1
173,1
175,2
176,2
178,1
180,3
182,1
183,1
184,2
185,1
189,1
190,2
192,1
193,1
194,1
195,1
198,1
199,1
207,1
208,2
209,1
210,1
213,1
218,1
222,1
223,1
225,1
226,1
228,1
229,1
231,1
232,2
233,1
234,1
238,1
242,1
243,1
253,2
256,1
258,1
261,1
262,1
266,1
267,1
271,1
275,1
276,3
279,1
280,1
282,1
287,1
288,2
291,1
292,2
293,3
296,1
300,2
302,2
304,1
306,2
320,1
322,1
323,1
324,1
332,1
333,1
335,1
337,1
341,2
342,2
343,1
344,3
345,1
348,1
349,2
350,1
352,1
353,1
355,1
357,2
363,1
368,1
371,1
372,1
373,1
375,2
376,2
378,2
379,1
380,1
384,2
386,1
387,2
388,1
389,2
391,1
395,1
397,1
400,2
406,1
411,1
415,2
416,2
417,1
421,2
427,2
430,1
433,1
437,1
439,1
440,1
442,1
444,1
447,1
450,2
451,1
452,1
454,1
455,2
456,1
457,1
459,1
464,1
465,1
467,1
468,2
469,1
470,1
472,2
473,1
474,1
477,1
482,1
486,1
490,1
492,1
496,1
499,2
500,1
501,1
502,1
508,2
512,1
518,1
525,2
526,1
528,1
529,1
530,1
531,2
534,1
539,1
540,2
551,1
552,1
554,1
557,1
561,2
562,4
563,1
564,2
566,1
568,1
572,1
573,1
575,1
576,1
577,1
578,2
579,1
582,1
583,1
584,2
585,1
587,1
588,1
589,1
590,1
595,2
596,1
599,1
612,1
621,1
624,1
625,1
629,1
631,1
636,1
639,1
646,2
650,1
653,1
657,1
661,1
662,1
665,1
667,1
669,1
670,2
673,2
674,1
675,1
676,1
680,1
681,2
684,1
685,1
686,1
691,1
694,1
695,1
697,1
698,1
701,1
705,1
710,4
713,2
716,3
719,1
722,1
723,2
727,2
731,2
733,1
735,1
736,2
737,1
739,1
740,1
743,1
744,1
745,1
746,2
747,1
748,1
750,1
751,1
752,1
753,1
754,1
761,1
763,2
769,2
775,1
776,1
779,1
785,1
788,2
789,2
794,1
795,1
796,2
801,1
806,2
812,1
814,2
816,2
818,1
826,1
827,1
829,1
832,1
834,2
839,1
840,1
842,2
843,2
846,1
847,1
848,1
850,1
851,1
854,1
859,1
860,1
863,1
864,1
866,2
869,1
870,2
871,1
872,1
876,1
879,1
881,1
885,1
886,1
891,1
892,1
894,2
895,1
896,1
901,2
903,1
908,1
911,1
917,1
920,1
924,1
925,3
926,2
927,1
931,1
932,1
933,1
937,1
938,1
940,2
942,1
945,1
956,1
957,1
958,1
959,1
960,1
961,1
964,1
968,1
969,1
971,2
972,1
976,2
977,1
978,2
980,1
981,1
986,1
988,1
989,1
992,1
994,1
997,2
