original_classes,44,52,304,324,372,492,502,876
2,0,1,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0
10,0,2,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0
16,0,1,0,0,0,0,0,0
21,0,2,0,0,0,0,0,0
22,0,1,0,0,0,0,0,0
24,0,1,0,0,0,0,0,0
29,0,2,0,0,0,0,0,0
31,0,1,0,0,0,0,0,0
34,0,1,0,0,0,0,0,0
37,0,1,0,0,0,0,0,0
39,0,1,0,0,0,0,0,0
40,0,1,0,0,0,0,0,0
42,0,2,0,0,0,0,0,0
44,1,0,0,0,0,0,0,0
45,0,1,0,0,0,0,0,0
46,0,2,0,0,0,0,0,0
55,0,1,0,0,0,0,0,0
56,0,1,0,0,0,0,0,0
59,0,2,0,0,0,0,0,0
60,0,1,0,0,0,0,0,0
62,0,1,0,0,0,0,0,0
64,0,2,0,0,0,0,0,0
68,0,1,0,0,0,0,0,0
72,0,1,0,0,0,0,0,0
74,0,2,0,0,0,0,0,0
75,0,1,0,0,0,0,0,0
76,0,1,0,0,0,0,0,0
79,0,1,0,0,0,0,0,0
81,0,1,0,0,0,0,0,0
86,0,1,0,0,0,0,0,0
87,0,1,0,0,0,0,0,0
88,0,1,0,0,0,0,0,0
89,0,1,0,0,0,0,0,0
90,0,1,0,0,0,0,0,0
91,0,1,0,0,0,0,0,0
93,0,1,0,0,0,0,0,0
97,0,1,0,0,0,0,0,0
99,0,2,0,0,0,0,0,0
101,0,1,0,0,0,0,0,0
102,0,2,0,0,0,0,0,0
103,0,2,0,0,0,0,0,0
104,0,1,0,0,0,0,0,0
108,0,1,0,0,0,0,0,0
111,0,1,0,0,0,0,0,0
112,0,1,0,0,0,0,0,0
113,0,1,0,0,0,0,0,0
116,0,3,0,0,0,0,0,0
118,0,1,0,0,0,0,0,0
120,0,2,0,0,0,0,0,0
121,0,1,0,0,0,0,0,0
124,0,1,0,0,0,0,0,0
130,0,1,0,0,0,0,0,0
136,0,1,0,0,0,0,0,0
137,0,1,0,0,0,0,0,0
139,0,2,0,0,0,0,0,0
143,0,1,0,0,0,0,0,0
147,0,2,0,0,0,0,0,0
152,0,1,0,0,0,0,0,0
153,0,1,0,0,0,0,0,0
155,0,1,0,0,0,0,0,0
156,0,2,0,0,0,0,0,0
157,0,1,0,0,0,0,0,0
160,0,1,0,0,0,0,0,0
162,0,1,0,0,0,0,0,0
163,0,1,0,0,0,0,0,0
164,0,1,0,0,0,0,0,0
167,0,1,0,0,0,0,0,0
168,0,2,0,0,0,0,0,0
172,0,1,0,0,0,0,0,0
173,0,1,0,0,0,0,0,0
175,0,2,0,0,0,0,0,0
176,0,2,0,0,0,0,0,0
178,0,1,0,0,0,0,0,0
180,0,3,0,0,0,0,0,0
182,0,1,0,0,0,0,0,0
183,0,1,0,0,0,0,0,0
184,0,2,0,0,0,0,0,0
185,0,1,0,0,0,0,0,0
189,0,1,0,0,0,0,0,0
190,0,2,0,0,0,0,0,0
192,0,1,0,0,0,0,0,0
193,0,1,0,0,0,0,0,0
194,0,1,0,0,0,0,0,0
195,0,1,0,0,0,0,0,0
198,0,1,0,0,0,0,0,0
199,0,1,0,0,0,0,0,0
207,0,1,0,0,0,0,0,0
208,0,2,0,0,0,0,0,0
209,0,1,0,0,0,0,0,0
210,0,1,0,0,0,0,0,0
213,0,1,0,0,0,0,0,0
218,0,1,0,0,0,0,0,0
222,0,1,0,0,0,0,0,0
223,0,1,0,0,0,0,0,0
225,0,1,0,0,0,0,0,0
226,0,1,0,0,0,0,0,0
228,0,1,0,0,0,0,0,0
229,0,1,0,0,0,0,0,0
231,0,1,0,0,0,0,0,0
232,0,2,0,0,0,0,0,0
233,0,1,0,0,0,0,0,0
234,0,1,0,0,0,0,0,0
238,0,1,0,0,0,0,0,0
242,0,1,0,0,0,0,0,0
243,0,1,0,0,0,0,0,0
253,0,2,0,0,0,0,0,0
256,0,1,0,0,0,0,0,0
258,0,1,0,0,0,0,0,0
261,0,1,0,0,0,0,0,0
262,0,1,0,0,0,0,0,0
266,0,1,0,0,0,0,0,0
267,0,1,0,0,0,0,0,0
271,0,1,0,0,0,0,0,0
275,0,1,0,0,0,0,0,0
276,0,3,0,0,0,0,0,0
279,0,1,0,0,0,0,0,0
280,0,1,0,0,0,0,0,0
282,0,1,0,0,0,0,0,0
287,0,1,0,0,0,0,0,0
288,0,2,0,0,0,0,0,0
291,0,1,0,0,0,0,0,0
292,0,2,0,0,0,0,0,0
293,0,3,0,0,0,0,0,0
296,0,1,0,0,0,0,0,0
300,0,2,0,0,0,0,0,0
302,0,2,0,0,0,0,0,0
304,0,0,1,0,0,0,0,0
306,0,2,0,0,0,0,0,0
320,0,1,0,0,0,0,0,0
322,0,1,0,0,0,0,0,0
323,0,1,0,0,0,0,0,0
324,0,0,0,1,0,0,0,0
332,0,1,0,0,0,0,0,0
333,0,1,0,0,0,0,0,0
335,0,1,0,0,0,0,0,0
337,0,1,0,0,0,0,0,0
341,0,2,0,0,0,0,0,0
342,0,2,0,0,0,0,0,0
343,0,1,0,0,0,0,0,0
344,0,3,0,0,0,0,0,0
345,0,1,0,0,0,0,0,0
348,0,1,0,0,0,0,0,0
349,0,2,0,0,0,0,0,0
350,0,1,0,0,0,0,0,0
352,0,1,0,0,0,0,0,0
353,0,1,0,0,0,0,0,0
355,0,1,0,0,0,0,0,0
357,0,2,0,0,0,0,0,0
363,0,1,0,0,0,0,0,0
368,0,1,0,0,0,0,0,0
371,0,1,0,0,0,0,0,0
372,0,0,0,0,1,0,0,0
373,0,1,0,0,0,0,0,0
375,0,2,0,0,0,0,0,0
376,0,2,0,0,0,0,0,0
378,0,2,0,0,0,0,0,0
379,0,1,0,0,0,0,0,0
380,0,1,0,0,0,0,0,0
384,0,2,0,0,0,0,0,0
386,0,1,0,0,0,0,0,0
387,0,2,0,0,0,0,0,0
388,0,1,0,0,0,0,0,0
389,0,2,0,0,0,0,0,0
391,0,1,0,0,0,0,0,0
395,0,1,0,0,0,0,0,0
397,0,1,0,0,0,0,0,0
400,0,2,0,0,0,0,0,0
406,0,1,0,0,0,0,0,0
411,0,1,0,0,0,0,0,0
415,0,2,0,0,0,0,0,0
416,0,2,0,0,0,0,0,0
417,0,1,0,0,0,0,0,0
421,0,2,0,0,0,0,0,0
427,0,2,0,0,0,0,0,0
430,0,1,0,0,0,0,0,0
433,0,1,0,0,0,0,0,0
437,0,1,0,0,0,0,0,0
439,0,1,0,0,0,0,0,0
440,0,1,0,0,0,0,0,0
442,0,1,0,0,0,0,0,0
444,0,1,0,0,0,0,0,0
447,0,1,0,0,0,0,0,0
450,0,2,0,0,0,0,0,0
451,0,1,0,0,0,0,0,0
452,0,1,0,0,0,0,0,0
454,0,1,0,0,0,0,0,0
455,0,2,0,0,0,0,0,0
456,0,1,0,0,0,0,0,0
457,0,1,0,0,0,0,0,0
459,0,1,0,0,0,0,0,0
464,0,1,0,0,0,0,0,0
465,0,1,0,0,0,0,0,0
467,0,1,0,0,0,0,0,0
468,0,2,0,0,0,0,0,0
469,0,1,0,0,0,0,0,0
470,0,1,0,0,0,0,0,0
472,0,2,0,0,0,0,0,0
473,0,1,0,0,0,0,0,0
474,0,1,0,0,0,0,0,0
477,0,1,0,0,0,0,0,0
482,0,1,0,0,0,0,0,0
486,0,1,0,0,0,0,0,0
490,0,1,0,0,0,0,0,0
492,0,0,0,0,0,1,0,0
496,0,1,0,0,0,0,0,0
499,0,2,0,0,0,0,0,0
500,0,1,0,0,0,0,0,0
501,0,1,0,0,0,0,0,0
502,0,0,0,0,0,0,1,0
508,0,2,0,0,0,0,0,0
512,0,1,0,0,0,0,0,0
518,0,1,0,0,0,0,0,0
525,0,2,0,0,0,0,0,0
526,0,1,0,0,0,0,0,0
528,0,1,0,0,0,0,0,0
529,0,1,0,0,0,0,0,0
530,0,1,0,0,0,0,0,0
531,0,2,0,0,0,0,0,0
534,0,1,0,0,0,0,0,0
539,0,1,0,0,0,0,0,0
540,0,2,0,0,0,0,0,0
551,0,1,0,0,0,0,0,0
552,0,1,0,0,0,0,0,0
554,0,1,0,0,0,0,0,0
557,0,1,0,0,0,0,0,0
561,0,2,0,0,0,0,0,0
562,0,4,0,0,0,0,0,0
563,0,1,0,0,0,0,0,0
564,0,2,0,0,0,0,0,0
566,0,1,0,0,0,0,0,0
568,0,1,0,0,0,0,0,0
572,0,1,0,0,0,0,0,0
573,0,1,0,0,0,0,0,0
575,0,1,0,0,0,0,0,0
576,0,1,0,0,0,0,0,0
577,0,1,0,0,0,0,0,0
578,0,2,0,0,0,0,0,0
579,0,1,0,0,0,0,0,0
582,0,1,0,0,0,0,0,0
583,0,1,0,0,0,0,0,0
584,0,2,0,0,0,0,0,0
585,0,1,0,0,0,0,0,0
587,0,1,0,0,0,0,0,0
588,0,1,0,0,0,0,0,0
589,0,1,0,0,0,0,0,0
590,0,1,0,0,0,0,0,0
595,0,2,0,0,0,0,0,0
596,0,1,0,0,0,0,0,0
599,0,1,0,0,0,0,0,0
612,0,1,0,0,0,0,0,0
621,0,1,0,0,0,0,0,0
624,0,1,0,0,0,0,0,0
625,0,1,0,0,0,0,0,0
629,0,1,0,0,0,0,0,0
631,0,1,0,0,0,0,0,0
636,0,1,0,0,0,0,0,0
639,0,1,0,0,0,0,0,0
646,0,2,0,0,0,0,0,0
650,0,1,0,0,0,0,0,0
653,0,1,0,0,0,0,0,0
657,0,1,0,0,0,0,0,0
661,0,1,0,0,0,0,0,0
662,0,1,0,0,0,0,0,0
665,0,1,0,0,0,0,0,0
667,0,1,0,0,0,0,0,0
669,0,1,0,0,0,0,0,0
670,0,2,0,0,0,0,0,0
673,0,2,0,0,0,0,0,0
674,0,1,0,0,0,0,0,0
675,0,1,0,0,0,0,0,0
676,0,1,0,0,0,0,0,0
680,0,1,0,0,0,0,0,0
681,0,2,0,0,0,0,0,0
684,0,1,0,0,0,0,0,0
685,0,1,0,0,0,0,0,0
686,0,1,0,0,0,0,0,0
691,0,1,0,0,0,0,0,0
694,0,1,0,0,0,0,0,0
695,0,1,0,0,0,0,0,0
697,0,1,0,0,0,0,0,0
698,0,1,0,0,0,0,0,0
701,0,1,0,0,0,0,0,0
705,0,1,0,0,0,0,0,0
710,0,4,0,0,0,0,0,0
713,0,2,0,0,0,0,0,0
716,0,3,0,0,0,0,0,0
719,0,1,0,0,0,0,0,0
722,0,1,0,0,0,0,0,0
723,0,2,0,0,0,0,0,0
727,0,2,0,0,0,0,0,0
731,0,2,0,0,0,0,0,0
733,0,1,0,0,0,0,0,0
735,0,1,0,0,0,0,0,0
736,0,2,0,0,0,0,0,0
737,0,1,0,0,0,0,0,0
739,0,1,0,0,0,0,0,0
740,0,1,0,0,0,0,0,0
743,0,1,0,0,0,0,0,0
744,0,1,0,0,0,0,0,0
745,0,1,0,0,0,0,0,0
746,0,2,0,0,0,0,0,0
747,0,1,0,0,0,0,0,0
748,0,1,0,0,0,0,0,0
750,0,1,0,0,0,0,0,0
751,0,1,0,0,0,0,0,0
752,0,1,0,0,0,0,0,0
753,0,1,0,0,0,0,0,0
754,0,1,0,0,0,0,0,0
761,0,1,0,0,0,0,0,0
763,0,2,0,0,0,0,0,0
769,0,2,0,0,0,0,0,0
775,0,1,0,0,0,0,0,0
776,0,1,0,0,0,0,0,0
779,0,1,0,0,0,0,0,0
785,0,1,0,0,0,0,0,0
788,0,2,0,0,0,0,0,0
789,0,2,0,0,0,0,0,0
794,0,1,0,0,0,0,0,0
795,0,1,0,0,0,0,0,0
796,0,2,0,0,0,0,0,0
801,0,1,0,0,0,0,0,0
806,0,2,0,0,0,0,0,0
812,0,1,0,0,0,0,0,0
814,0,2,0,0,0,0,0,0
816,0,2,0,0,0,0,0,0
818,0,1,0,0,0,0,0,0
826,0,1,0,0,0,0,0,0
827,0,1,0,0,0,0,0,0
829,0,1,0,0,0,0,0,0
832,0,1,0,0,0,0,0,0
834,0,2,0,0,0,0,0,0
839,0,1,0,0,0,0,0,0
840,0,1,0,0,0,0,0,0
842,0,2,0,0,0,0,0,0
843,0,2,0,0,0,0,0,0
846,0,1,0,0,0,0,0,0
847,0,1,0,0,0,0,0,0
848,0,1,0,0,0,0,0,0
850,0,1,0,0,0,0,0,0
851,0,1,0,0,0,0,0,0
854,0,1,0,0,0,0,0,0
859,0,1,0,0,0,0,0,0
860,0,1,0,0,0,0,0,0
863,0,1,0,0,0,0,0,0
864,0,1,0,0,0,0,0,0
866,0,2,0,0,0,0,0,0
869,0,1,0,0,0,0,0,0
870,0,2,0,0,0,0,0,0
871,0,1,0,0,0,0,0,0
872,0,1,0,0,0,0,0,0
876,0,0,0,0,0,0,0,1
879,0,1,0,0,0,0,0,0
881,0,1,0,0,0,0,0,0
885,0,1,0,0,0,0,0,0
886,0,1,0,0,0,0,0,0
891,0,1,0,0,0,0,0,0
892,0,1,0,0,0,0,0,0
894,0,2,0,0,0,0,0,0
895,0,1,0,0,0,0,0,0
896,0,1,0,0,0,0,0,0
901,0,2,0,0,0,0,0,0
903,0,1,0,0,0,0,0,0
908,0,1,0,0,0,0,0,0
911,0,1,0,0,0,0,0,0
917,0,1,0,0,0,0,0,0
920,0,1,0,0,0,0,0,0
924,0,1,0,0,0,0,0,0
925,0,3,0,0,0,0,0,0
926,0,2,0,0,0,0,0,0
927,0,1,0,0,0,0,0,0
931,0,1,0,0,0,0,0,0
932,0,1,0,0,0,0,0,0
933,0,1,0,0,0,0,0,0
937,0,1,0,0,0,0,0,0
938,0,1,0,0,0,0,0,0
940,0,2,0,0,0,0,0,0
942,0,1,0,0,0,0,0,0
945,0,1,0,0,0,0,0,0
956,0,1,0,0,0,0,0,0
957,0,1,0,0,0,0,0,0
958,0,1,0,0,0,0,0,0
959,0,1,0,0,0,0,0,0
960,0,1,0,0,0,0,0,0
961,0,1,0,0,0,0,0,0
964,0,1,0,0,0,0,0,0
968,0,1,0,0,0,0,0,0
969,0,1,0,0,0,0,0,0
971,0,2,0,0,0,0,0,0
972,0,1,0,0,0,0,0,0
976,0,2,0,0,0,0,0,0
977,0,1,0,0,0,0,0,0
978,0,2,0,0,0,0,0,0
980,0,1,0,0,0,0,0,0
981,0,1,0,0,0,0,0,0
986,0,1,0,0,0,0,0,0
988,0,1,0,0,0,0,0,0
989,0,1,0,0,0,0,0,0
992,0,1,0,0,0,0,0,0
994,0,1,0,0,0,0,0,0
997,0,2,0,0,0,0,0,0
