original_classes,4,44,304,324,372,492,502,876,985
2,1,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0
21,2,0,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0,0
34,1,0,0,0,0,0,0,0,0
37,1,0,0,0,0,0,0,0,0
39,1,0,0,0,0,0,0,0,0
40,1,0,0,0,0,0,0,0,0
42,2,0,0,0,0,0,0,0,0
44,0,1,0,0,0,0,0,0,0
45,1,0,0,0,0,0,0,0,0
46,2,0,0,0,0,0,0,0,0
55,1,0,0,0,0,0,0,0,0
56,1,0,0,0,0,0,0,0,0
59,2,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0
62,1,0,0,0,0,0,0,0,0
64,2,0,0,0,0,0,0,0,0
68,1,0,0,0,0,0,0,0,0
72,1,0,0,0,0,0,0,0,0
74,2,0,0,0,0,0,0,0,0
75,1,0,0,0,0,0,0,0,0
76,1,0,0,0,0,0,0,0,0
79,1,0,0,0,0,0,0,0,0
81,1,0,0,0,0,0,0,0,0
86,1,0,0,0,0,0,0,0,0
87,1,0,0,0,0,0,0,0,0
88,1,0,0,0,0,0,0,0,0
89,1,0,0,0,0,0,0,0,0
90,1,0,0,0,0,0,0,0,0
91,1,0,0,0,0,0,0,0,0
93,1,0,0,0,0,0,0,0,0
97,1,0,0,0,0,0,0,0,0
99,2,0,0,0,0,0,0,0,0
101,1,0,0,0,0,0,0,0,0
102,2,0,0,0,0,0,0,0,0
103,2,0,0,0,0,0,0,0,0
104,1,0,0,0,0,0,0,0,0
108,1,0,0,0,0,0,0,0,0
111,1,0,0,0,0,0,0,0,0
112,1,0,0,0,0,0,0,0,0
113,1,0,0,0,0,0,0,0,0
116,3,0,0,0,0,0,0,0,0
118,1,0,0,0,0,0,0,0,0
120,2,0,0,0,0,0,0,0,0
121,1,0,0,0,0,0,0,0,0
124,1,0,0,0,0,0,0,0,0
130,1,0,0,0,0,0,0,0,0
136,1,0,0,0,0,0,0,0,0
137,1,0,0,0,0,0,0,0,0
139,2,0,0,0,0,0,0,0,0
143,1,0,0,0,0,0,0,0,0
147,2,0,0,0,0,0,0,0,0
152,1,0,0,0,0,0,0,0,0
153,1,0,0,0,0,0,0,0,0
155,1,0,0,0,0,0,0,0,0
156,2,0,0,0,0,0,0,0,0
157,1,0,0,0,0,0,0,0,0
160,1,0,0,0,0,0,0,0,0
162,1,0,0,0,0,0,0,0,0
163,1,0,0,0,0,0,0,0,0
164,1,0,0,0,0,0,0,0,0
167,1,0,0,0,0,0,0,0,0
168,2,0,0,0,0,0,0,0,0
172,1,0,0,0,0,0,0,0,0
173,1,0,0,0,0,0,0,0,0
175,1,0,0,0,0,0,0,0,1
176,2,0,0,0,0,0,0,0,0
178,1,0,0,0,0,0,0,0,0
180,3,0,0,0,0,0,0,0,0
182,1,0,0,0,0,0,0,0,0
183,1,0,0,0,0,0,0,0,0
184,2,0,0,0,0,0,0,0,0
185,1,0,0,0,0,0,0,0,0
189,1,0,0,0,0,0,0,0,0
190,2,0,0,0,0,0,0,0,0
192,1,0,0,0,0,0,0,0,0
193,1,0,0,0,0,0,0,0,0
194,1,0,0,0,0,0,0,0,0
195,1,0,0,0,0,0,0,0,0
198,1,0,0,0,0,0,0,0,0
199,1,0,0,0,0,0,0,0,0
207,1,0,0,0,0,0,0,0,0
208,2,0,0,0,0,0,0,0,0
209,1,0,0,0,0,0,0,0,0
210,1,0,0,0,0,0,0,0,0
213,1,0,0,0,0,0,0,0,0
218,1,0,0,0,0,0,0,0,0
222,1,0,0,0,0,0,0,0,0
223,1,0,0,0,0,0,0,0,0
225,1,0,0,0,0,0,0,0,0
226,1,0,0,0,0,0,0,0,0
228,1,0,0,0,0,0,0,0,0
229,1,0,0,0,0,0,0,0,0
231,1,0,0,0,0,0,0,0,0
232,2,0,0,0,0,0,0,0,0
233,1,0,0,0,0,0,0,0,0
234,1,0,0,0,0,0,0,0,0
238,1,0,0,0,0,0,0,0,0
242,1,0,0,0,0,0,0,0,0
243,1,0,0,0,0,0,0,0,0
253,2,0,0,0,0,0,0,0,0
256,1,0,0,0,0,0,0,0,0
258,1,0,0,0,0,0,0,0,0
