params_x,params_y,params_z,user_attrs_top-1
122.3,156.4,1.52,0.7578125
122.3,156.4,1.52,0.7578125
124.3,149.5,0.45,-1.0
124.3,149.5,0.45,0.7578125
123.8,154.4,0.24,0.75
123.8,154.4,0.24,0.75
123.8,154.4,0.24,0.7578125
123.8,154.4,0.24,0.7578125
126.6,152.9,1.85,0.7578125
126.6,152.9,1.85,0.7578125
123.1,157.0,1.6,0.7578125
123.1,157.0,1.6,0.7578125
118.3,154.2,1.71,0.7578125
118.3,154.2,1.71,0.7578125
123.4,154.4,1.1500000000000001,0.7578125
123.4,154.4,1.1500000000000001,0.7578125
125.4,155.9,1.62,0.7578125
125.4,155.9,1.62,0.7578125
125.4,154.9,0.88,0.75
125.4,154.9,0.88,0.75
125.4,154.9,0.88,0.7578125
125.4,154.9,0.88,0.7578125
121.2,157.2,0.43,0.7578125
121.2,157.2,0.43,0.7578125
125.3,157.5,0.12,0.7578125
125.3,157.5,0.12,0.7578125
125.8,153.7,0.34,0.7578125
125.8,153.7,0.34,-1.0
121.9,151.4,0.35000000000000003,0.7578125
121.9,151.4,0.35000000000000003,0.75
121.9,151.4,0.35000000000000003,0.7578125
119.1,150.1,0.63,0.7578125
119.1,150.1,0.63,0.7578125
122.6,154.1,0.18,0.7578125
122.6,154.1,0.18,0.75
122.6,154.1,0.18,0.7578125
126.9,153.8,1.12,0.7578125
126.9,153.8,1.12,0.7578125
125.9,158.0,1.31,0.7578125
125.9,158.0,1.31,0.7578125
122.3,149.2,1.33,0.7578125
122.3,149.2,1.33,0.7578125
122.6,156.6,0.59,0.7578125
122.6,156.6,0.59,0.7578125
120.2,154.2,0.79,-1.0
120.2,154.2,0.79,-1.0
126.3,152.4,0.63,0.7578125
126.3,152.4,0.63,-1.0
122.3,151.8,0.03,0.7578125
122.3,151.8,0.03,0.7578125
123.2,149.3,0.68,0.7578125
123.2,149.3,0.68,0.7578125
119.9,148.7,0.19,0.7578125
119.9,148.7,0.19,0.7578125
119.2,153.3,0.4,0.75
119.2,153.3,0.4,0.7578125
119.2,153.3,0.4,0.7578125
121.9,153.1,0.81,0.75
121.9,153.1,0.81,0.75
121.9,153.1,0.81,0.7578125
121.9,153.1,0.81,0.7578125
124.1,154.7,0.61,0.7578125
124.1,154.7,0.61,0.7578125
122.3,152.8,0.97,-1.0
122.3,152.8,0.97,0.7578125
127.0,155.2,0.19,0.7578125
